№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,info,,⁕
1,29.08.22 11:53=UTC+02:00,CHFiesch,,98.51 km,118.21 P.,4 : 24 h,26.45,,, ,
2,24.10.21 12:19=UTC+02:00,CHBundstock,,14.61 km,14.61 P.,0 : 36 h,26.27,,, ,
3,31.07.22 10:48=UTC+02:00,CHNiesen,,216.15 km,216.15 P.,8 : 20 h,26.24,,, ,
4,17.06.22 10:26=UTC+02:00,CHNiesen,,207.90 km,249.48 P.,8 : 28 h,26.11,,, ,
5,17.05.22 06:59=UTC+02:00,CH?,,3.32 km,3.98 P.,0 : 08 h,25.86,,, ,
6,19.03.22 12:19=UTC+01:00,CHCrap Sogn...,,62.18 km,74.62 P.,3 : 26 h,25.73,,, ,
7,15.04.22 10:39=UTC+02:00,CHRiederalp,,92.37 km,110.84 P.,3 : 57 h,25.16,,, ,
8,10.10.21 14:13=UTC+02:00,CHCret du Midi,,17.10 km,20.52 P.,1 : 25 h,24.92,,, ,
9,24.07.22 17:59=UTC+02:00,CHAmisbühl,,13.70 km,13.70 P.,0 : 39 h,24.47,,, ,
10,21.11.21 13:03=UTC+01:00,CHSchilthorn,,16.27 km,19.52 P.,0 : 45 h,24.43,,, ,
11,13.08.22 12:18=UTC+02:00,CHLai Alv,,80.69 km,80.69 P.,3 : 27 h,24.43,,, ,
12,15.05.22 11:53=UTC+02:00,CHGrindelwald,,64.23 km,64.23 P.,3 : 23 h,23.65,,, ,
13,03.08.22 10:36=UTC+02:00,CHFiesch,,175.19 km,210.23 P.,7 : 38 h,23.58,,, ,
14,25.08.22 11:37=UTC+02:00,ATEmberger Alm,,62.19 km,62.19 P.,2 : 48 h,23.56,,, ,
15,27.08.22 11:15=UTC+02:00,ATEmberger Alm,,34.70 km,34.69 P.,1 : 53 h,23.43,,,,
