№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,info,,⁕
1,08.04.23 13:03=UTC+02:00,CHVerbier,,43.19 km,43.19 P.,3 : 03 h,31.03,,, ,
2,15.06.23 12:59=UTC+02:00,CHEbenalp,,63.81 km,63.81 P.,3 : 32 h,30.77,,, ,
3,06.05.23 11:42=UTC+02:00,CHGrindelwald,,55.86 km,55.86 P.,3 : 37 h,28.98,,, ,
4,26.05.23 10:23=UTC+02:00,CHRiederalp,,282.65 km,339.18 P.,9 : 57 h,28.78,,, ,
5,10.04.23 12:11=UTC+02:00,CHVerbier,,38.46 km,38.46 P.,2 : 43 h,27.21,,, ,
6,09.07.23 11:40=UTC+02:00,FRSt. André,,147.02 km,176.42 P.,6 : 06 h,26.1,,, ,
7,20.08.23 10:27=UTC+02:00,CHFiesch,,164.19 km,213.45 P.,6 : 52 h,25.35,,, ,
8,03.03.23 10:28=UTC+01:00,CHFiesch,,137.09 km,164.51 P.,5 : 28 h,25.12,,, ,
9,09.04.23 13:06=UTC+02:00,CHVerbier,,46.97 km,46.97 P.,3 : 05 h,24.88,,, ,
10,11.08.23 12:29=UTC+02:00,CHLai Alv,,59.67 km,59.67 P.,2 : 44 h,24.86,,, ,
11,19.08.23 10:31=UTC+02:00,CHFiesch,,230.26 km,299.34 P.,9 : 18 h,24.78,,, ,
12,18.08.23 14:25=UTC+02:00,CH?,,106.31 km,106.31 P.,4 : 27 h,24.24,,, ,
13,03.05.23 09:54=UTC+02:00,CHRiederalp,,212.72 km,255.26 P.,9 : 17 h,23.39,,, ,
14,18.08.23 10:17=UTC+02:00,CHNiesen,,37.15 km,44.58 P.,1 : 42 h,23.35,,, ,
15,30.10.22 13:51=UTC+01:00,CHpt. 2860,,44.87 km,44.87 P.,1 : 59 h,22.87,,,,
