№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,info,,⁕
1,27.06.21 10:17=UTC+02:00,CHNiesen,,27.35 km,27.35 P.,0 : 58 h,30.14,,, ,
2,24.06.21 11:15=UTC+02:00,ITMonte Mad...,,22.03 km,22.03 P.,0 : 55 h,26.42,,, ,
3,23.06.21 13:46=UTC+02:00,ITColli di ...,,24.68 km,24.68 P.,1 : 02 h,23.75,,, ,
4,02.09.21 14:29=UTC+02:00,CHFiesch,,44.47 km,44.47 P.,1 : 56 h,23.16,,, ,
5,12.09.21 10:59=UTC+02:00,CHFiesch,,96.66 km,115.99 P.,4 : 40 h,21.62,,, ,
6,05.09.21 11:15=UTC+02:00,CHFiesch,,128.87 km,154.64 P.,6 : 16 h,21.41,,, ,
7,14.08.21 10:38=UTC+02:00,CHMetschstand,,68.24 km,68.24 P.,3 : 23 h,20.23,,, ,
8,21.08.21 10:06=UTC+02:00,CHFiesch,,95.45 km,114.54 P.,5 : 02 h,19.51,,, ,
9,27.09.21 11:33=UTC+02:00,ITCol Rodella,,60.55 km,72.66 P.,3 : 51 h,18.43,,, ,
10,22.07.21 10:46=UTC+02:00,CHNiesen,,128.79 km,154.55 P.,7 : 27 h,17.32,,, ,
11,28.09.21 11:09=UTC+02:00,ITCol Rodella,,28.88 km,34.66 P.,1 : 48 h,17.15,,, ,
12,20.07.21 16:55=UTC+02:00,CHMentschelen,,27.50 km,33.00 P.,1 : 55 h,16.85,,, ,
13,29.09.21 12:08=UTC+02:00,ITBassano,,38.40 km,46.08 P.,2 : 44 h,16.85,,, ,
14,26.06.21 13:10=UTC+02:00,CHAmisbühl,,33.39 km,33.39 P.,2 : 05 h,16.24,,, ,
15,30.09.21 10:51=UTC+02:00,ITCol Rodella,,59.01 km,59.01 P.,6 : 06 h,15.64,,,,
