time,lat,lon,pressure_alt,gps_alt,airstart,next_tp,goal,distance
11:16:31,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.075864967082
11:16:32,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18264662183
11:16:33,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.187151979495
11:16:34,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.187315754312
11:16:35,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732156923
11:16:36,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732177379
11:16:37,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.187321780548
11:16:38,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.187321780595
11:16:39,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:40,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:41,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:42,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:43,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:44,46.7004,7.820883333333334,1181,1275,False,TP2,False,30315.18732178053
11:16:45,46.700383333333335,7.820883333333334,1181,1277,False,TP2,False,30313.418780988548
11:16:46,46.70036666666667,7.820883333333334,1180,1277,False,TP2,False,30311.657715967496
11:16:47,46.70035,7.820883333333334,1180,1277,False,TP2,False,30309.89784772801
11:16:48,46.70035,7.820866666666666,1179,1276,False,TP2,False,30309.502697901462
11:16:49,46.70033333333333,7.820866666666666,1179,1276,False,TP2,False,30307.73602394014
11:16:50,46.7003,7.820866666666666,1178,1276,False,TP2,False,30304.218104001553
11:16:51,46.70025,7.82085,1177,1275,False,TP2,False,30298.541713054965
11:16:52,46.70016666666667,7.820866666666666,1177,1274,False,TP2,False,30290.17956452472
11:16:53,46.70008333333333,7.820883333333334,1175,1273,False,TP2,False,30281.847587389315
11:16:54,46.699983333333336,7.8209333333333335,1171,1272,False,TP2,False,30272.654329988236
11:16:55,46.69991666666667,7.820983333333333,1171,1271,False,TP2,False,30267.00012741896
11:16:56,46.69983333333333,7.821033333333333,1170,1271,False,TP2,False,30259.66928349468
11:16:57,46.69975,7.821083333333333,1166,1269,False,TP2,False,30252.402919270335
11:16:58,46.69968333333333,7.821116666666667,1164,1268,False,TP2,False,30246.45465099379
