time,lat,lon,pressure_alt,gps_alt,airstart,next_tp,goal,distance
11:30:29,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.61358542792
11:30:30,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.70915090713
11:30:31,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.70998890712
11:30:32,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.710009892435
11:30:33,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.710010660176
11:30:34,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.710010686613
11:30:35,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.71001068715
11:30:36,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.71001068715
11:30:37,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.71001068715
11:30:38,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.71001068715
11:30:39,46.70021666666667,7.82055,1207,1273,False,TP2,False,29499.71001068715
11:30:40,46.70021666666667,7.820566666666666,1207,1277,False,TP2,False,29500.094658065962
11:30:41,46.7002,7.820583333333333,1206,1277,False,TP2,False,29498.708301420837
11:30:42,46.70021666666667,7.8206,1206,1277,False,TP2,False,29500.863972698975
11:30:43,46.70021666666667,7.820616666666667,1206,1276,False,TP2,False,29501.25058023192
11:30:44,46.70021666666667,7.820616666666667,1206,1276,False,TP2,False,29501.25058792863
11:30:45,46.7002,7.820616666666667,1206,1276,False,TP2,False,29499.48180028569
11:30:46,46.700183333333335,7.820633333333333,1206,1275,False,TP2,False,29498.10326013596
11:30:47,46.70015,7.820666666666667,1203,1274,False,TP2,False,29495.357222449158
11:30:48,46.700116666666666,7.820716666666667,1200,1272,False,TP2,False,29493.02342734741
11:30:49,46.700066666666665,7.8208,1199,1270,False,TP2,False,29489.776965537956
11:30:50,46.70003333333333,7.820883333333334,1199,1270,False,TP2,False,29488.343192659777
11:30:51,46.699983333333336,7.82095,1199,1270,False,TP2,False,29484.796358599127
11:30:52,46.69991666666667,7.820966666666667,1200,1270,False,TP2,False,29478.268585138154
11:30:53,46.699866666666665,7.82095,1200,1269,False,TP2,False,29472.630378190905
11:30:54,46.69981666666666,7.8209,1201,1270,False,TP2,False,29466.132757250904
11:30:55,46.69975,7.820833333333333,1201,1270,False,TP2,False,29457.47520201242
11:30:56,46.69968333333333,7.8208,1202,1271,False,TP2,False,29449.681341513948
11:30:57,46.699616666666664,7.8208166666666665,1202,1272,False,TP2,False,29443.19181994607
11:30:58,46.69956666666667,7.82085,1203,1273,False,TP2,False,29438.890646480584
11:30:59,46.699533333333335,7.8209,1204,1274,False,TP2,False,29436.780445688204
11:31:00,46.6995,7.820966666666667,1205,1275,False,TP2,False,29435.15219702375
11:31:01,46.69948333333333,7.821033333333333,1206,1276,False,TP2,False,29435.272563264243
11:31:02,46.699466666666666,7.8210999999999995,1206,1276,False,TP2,False,29435.424017166388
11:31:03,46.699466666666666,7.821166666666667,1205,1277,False,TP2,False,29437.303451205265
11:31:04,46.6995,7.82125,1206,1276,False,TP2,False,29443.06471368038
11:31:05,46.699533333333335,7.8213333333333335,1206,1276,False,TP2,False,29448.84812615203
11:31:06,46.69956666666667,7.821383333333333,1204,1273,False,TP2,False,29453.683920337528
11:31:07,46.6996,7.821466666666667,1204,1270,False,TP2,False,29459.487575433926
11:31:08,46.69963333333333,7.821583333333333,1204,1271,False,TP2,False,29466.300486940494
11:31:09,46.69963333333333,7.821716666666667,1205,1271,False,TP2,False,29470.303584512487
11:31:10,46.69963333333333,7.821816666666667,1207,1273,False,TP2,False,29473.36484632995
11:31:11,46.6996,7.821883333333333,1208,1276,False,TP2,False,29472.101904690237
11:31:12,46.69955,7.8219,1211,1279,False,TP2,False,29467.64672534637
11:31:13,46.6995,7.8219,1213,1282,False,TP2,False,29462.682335583144
11:31:14,46.69945,7.821883333333333,1215,1285,False,TP2,False,29457.199128642318
11:31:15,46.699416666666664,7.821816666666667,1215,1285,False,TP2,False,29451.78276194405
11:31:16,46.69935,7.821733333333333,1215,1286,False,TP2,False,29442.54469100131
11:31:17,46.6993,7.821616666666666,1216,1286,False,TP2,False,29433.927096501295
11:31:18,46.699283333333334,7.8214500000000005,1216,1287,False,TP2,False,29427.132430007707
11:31:19,46.6993,7.821283333333334,1216,1287,False,TP2,False,29423.803727592036
11:31:20,46.69935,7.821116666666667,1216,1288,False,TP2,False,29424.016190413564
11:31:21,46.69943333333333,7.820966666666667,1218,1290,False,TP2,False,29428.312975106644
11:31:22,46.69951666666667,7.820866666666666,1219,1290,False,TP2,False,29434.170186270167
11:31:23,46.69963333333333,7.820866666666666,1219,1291,False,TP2,False,29446.22858549184
11:31:24,46.699733333333334,7.820916666666667,1219,1291,False,TP2,False,29457.90116787356
11:31:25,46.6998,7.821016666666667,1220,1291,False,TP2,False,29467.445385601837
11:31:26,46.69983333333333,7.821116666666667,1222,1293,False,TP2,False,29473.558864585364
11:31:27,46.69988333333333,7.8212,1224,1295,False,TP2,False,29480.970453451697
11:31:28,46.69991666666667,7.821283333333334,1226,1297,False,TP2,False,29486.680887229
11:31:29,46.69995,7.821383333333333,1229,1298,False,TP2,False,29492.859239803085
11:31:30,46.7,7.8214500000000005,1231,1299,False,TP2,False,29499.858272611833
11:31:31,46.70001666666667,7.821533333333333,1233,1300,False,TP2,False,29503.90160206062
11:31:32,46.7,7.821616666666666,1232,1300,False,TP2,False,29504.555240046473
11:31:33,46.699983333333336,7.821666666666666,1231,1300,False,TP2,False,29504.286892995387
