time,lat,lon,pressure_alt,gps_alt,airstart,next_tp,goal,distance
11:28:30,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.397709401946
11:28:31,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.486850830217
11:28:32,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489605786963
11:28:33,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.48968213502
11:28:34,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.48968420199
11:28:35,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684256518
11:28:36,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:37,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:38,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:39,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:40,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:41,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:42,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:43,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:44,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:45,46.70053333333333,7.820683333333333,0,1288,False,TP2,False,29536.489684259817
11:28:46,46.700466666666664,7.820666666666667,0,1288,False,TP2,False,29528.997980474393
11:28:47,46.70041666666667,7.820666666666667,0,1287,False,TP2,False,29523.66909748914
11:28:48,46.700383333333335,7.820666666666667,0,1287,False,TP2,False,29520.119919659854
11:28:49,46.700316666666666,7.820666666666667,0,1286,False,TP2,False,29513.02989978623
11:28:50,46.700266666666664,7.820683333333333,0,1284,False,TP2,False,29508.109275813615
11:28:51,46.7002,7.820716666666667,0,1284,False,TP2,False,29501.833787909658
11:28:52,46.700116666666666,7.820733333333333,0,1283,False,TP2,False,29493.426138036175
11:28:53,46.70001666666667,7.820766666666667,0,1281,False,TP2,False,29483.700399564095
11:28:54,46.699933333333334,7.8208,0,1280,False,TP2,False,29475.778208731506
11:28:55,46.69983333333333,7.820833333333333,0,1279,False,TP2,False,29466.160706381233
11:28:56,46.69976666666667,7.82085,0,1278,False,TP2,False,29459.638972947563
11:28:57,46.6997,7.820866666666666,0,1277,False,TP2,False,29453.140948496188
11:28:58,46.699616666666664,7.8209,0,1277,False,TP2,False,29445.383711878374
11:28:59,46.69956666666667,7.8209333333333335,0,1277,False,TP2,False,29441.110852243146
11:29:00,46.6995,7.820966666666667,0,1277,False,TP2,False,29435.15214920695
11:29:01,46.69945,7.820983333333333,0,1278,False,TP2,False,29430.479103609247
11:29:02,46.69938333333333,7.82095,0,1279,False,TP2,False,29422.73453994425
11:29:03,46.69931666666667,7.8209333333333335,0,1280,False,TP2,False,29415.459042914652
11:29:04,46.69926666666667,7.820916666666667,0,1281,False,TP2,False,29409.893665897034
11:29:05,46.699216666666665,7.820916666666667,0,1281,False,TP2,False,29404.80099071913
11:29:06,46.69915,7.820916666666667,0,1282,False,TP2,False,29398.027550875475
11:29:07,46.6991,7.8209,0,1281,False,TP2,False,29392.485505342054
11:29:08,46.69903333333333,7.8209,0,1281,False,TP2,False,29385.742515815353
11:29:09,46.698966666666664,7.820883333333334,0,1280,False,TP2,False,29378.537573242236
11:29:10,46.69891666666667,7.8209,0,1279,False,TP2,False,29373.992527327762
11:29:11,46.69885,7.820916666666667,0,1278,False,TP2,False,29367.80033134007
11:29:12,46.69878333333333,7.8209333333333335,0,1276,False,TP2,False,29361.641810459485
11:29:13,46.69871666666667,7.820966666666667,0,1275,False,TP2,False,29356.02451586504
11:29:14,46.69865,7.821016666666667,0,1274,False,TP2,False,29350.973384187782
11:29:15,46.6986,7.821066666666667,0,1274,False,TP2,False,29347.623656973923
11:29:16,46.69855,7.821116666666667,0,1273,False,TP2,False,29344.32519775478
11:29:17,46.6985,7.82115,0,1273,False,TP2,False,29340.537978476106
11:29:18,46.69846666666667,7.821166666666667,0,1272,False,TP2,False,29337.852542820343
11:29:19,46.69841666666667,7.821166666666667,0,1272,False,TP2,False,29333.0263334892
11:29:20,46.698366666666665,7.821166666666667,0,1272,False,TP2,False,29328.2165425612
11:29:21,46.69833333333333,7.821166666666667,0,1271,False,TP2,False,29325.019308376828
11:29:22,46.698283333333336,7.821166666666667,0,1270,False,TP2,False,29320.237541187755
11:29:23,46.698233333333334,7.821166666666667,0,1270,False,TP2,False,29315.47316457037
11:29:24,46.698166666666665,7.821183333333334,0,1270,False,TP2,False,29309.719088470694
11:29:25,46.698116666666664,7.8212166666666665,0,1270,False,TP2,False,29306.156150413786
11:29:26,46.69806666666667,7.821233333333334,0,1271,False,TP2,False,29302.05029297505
11:29:27,46.69801666666667,7.821233333333334,0,1271,False,TP2,False,29297.37915948218
11:29:28,46.697966666666666,7.8212166666666665,0,1272,False,TP2,False,29292.13938831894
11:29:29,46.697916666666664,7.821233333333334,0,1271,False,TP2,False,29288.107263429923
11:29:30,46.69786666666667,7.82125,0,1271,False,TP2,False,29284.106822970076
11:29:31,46.69781666666667,7.821283333333334,0,1271,False,TP2,False,29280.748952833488
11:29:32,46.697766666666666,7.821316666666666,0,1271,False,TP2,False,29277.44072103095
11:29:33,46.6977,7.821316666666666,0,1271,False,TP2,False,29271.428698608084
11:29:34,46.69765,7.8213333333333335,0,1270,False,TP2,False,29267.578823409036
